Search Query,Source/Medium,Clicks,Impressions,CTR,Average Position
https://e-focus.lln.training,google / organic,0,23,0.00%,51
https://pdfs.semanticscholar.org/,google / organic,0,1,0.00%,24
https://sci-hub,google / organic,0,2,0.00%,91
https://sci-hub.now.sh/,google / organic,0,6,0.00%,45
https://sci-hub.tw,google / organic,0,3,0.00%,75
https://sci-hub.tw/,google / organic,0,2,0.00%,53
https://scihub.tw,google / organic,0,1,0.00%,43
https://storage.googleapis.com/realestateagents/belmont.html,google / organic,0,4,0.00%,45
https://storage.googleapis.com/realestateagents/fletcher.html,google / organic,0,5,0.00%,24
https://storage.googleapis.com/realestateagents/jewells.html,google / organic,0,7,0.00%,26
https://storage.googleapis.com/realestateagents/minmi.html,google / organic,0,6,0.00%,65
https://storage.googleapis.com/realestateagents/shortland.html,google / organic,0,3,0.00%,11
https://storage.googleapis.com/realestateagents/tarro.html,google / organic,0,21,0.00%,8.2
https://storage.googleapis.com/realestateagents/valentine.html,google / organic,0,2,0.00%,68
https://stress-check.sbaw-wellness.com/?cid=3052,google / organic,0,6,0.00%,12
https://www.nzherald.co.nz/opinion/news/article.cfm?c_id=466,google / organic,0,45,0.00%,83
https://www.unisa.edu.au/,google / organic,0,255,0.00%,5.0
httpspdfs semanticscholar org,google / organic,0,58,0.00%,26
httpssso agc gov,google / organic,0,1,0.00%,100
httpswww aihw gov,google / organic,0,1,0.00%,7.0
httpswww aph gov auaboutparliament,google / organic,0,2,0.00%,37
httpswww mckinsey com,google / organic,0,1,0.00%,130
httpswww oaic gov,google / organic,0,3,0.00%,7.7
httpswww rch org,google / organic,0,21,0.00%,67
httpswww sciencedirect comsciencearticle,google / organic,0,1,0.00%,95
hu yu wei,google / organic,0,1,0.00%,75
hua lu,google / organic,0,5,0.00%,42
hub leader,google / organic,0,1,0.00%,10
hub living,google / organic,0,1,0.00%,75
hub-sci,google / organic,0,3,0.00%,73
hubbard hire armidale,google / organic,0,1,0.00%,84
hudood ordinance,google / organic,0,2,0.00%,35
hudood ordinance 1979,google / organic,0,2,0.00%,71
hudood ordinance 1979 pdf,google / organic,0,5,0.00%,45
hudson homes warnervale,google / organic,0,1,0.00%,57
hueristica,google / organic,0,1,0.00%,56
hugh burke,google / organic,0,5,0.00%,35
hugh de kretser,google / organic,0,4,0.00%,68
hugh donnelly,google / organic,0,5,0.00%,96
hugh guthrie,google / organic,0,1,0.00%,27
hugh hamilton wines distributors,google / organic,0,1,0.00%,54
hugh judy playcate,google / organic,0,2,0.00%,58
hugh robertson,google / organic,0,9,0.00%,34
hugh robertson bell potter,google / organic,0,1,0.00%,22
hugh white anu,google / organic,0,2,0.00%,56
hughes car sales south toowoomba qld,google / organic,0,1,0.00%,69
hughes electorate,google / organic,0,1,0.00%,63
hughes electorate results,google / organic,0,1,0.00%,48
hugo apo,google / organic,0,1,0.00%,9.0
hugo kentucky fried chicken ad,google / organic,0,1,0.00%,48
huib schippers,google / organic,0,2,0.00%,35
human development report 2010,google / organic,0,2,0.00%,25
human factors jobs australia,google / organic,0,1,0.00%,79
human impacts on kakadu national park,google / organic,0,1,0.00%,62
human impacts on the daintree rainforest,google / organic,0,1,0.00%,100
human impacts on uluru,google / organic,0,8,0.00%,55
human influenza,google / organic,0,2,0.00%,51
human injustice,google / organic,0,2,0.00%,36
human population in australia,google / organic,0,1,0.00%,79
human resource internal audit questionnaire,google / organic,0,1,0.00%,84
human right framework,google / organic,0,1,0.00%,11
human rights act 2004,google / organic,0,4,0.00%,37
human rights and morality,google / organic,0,1,0.00%,93
human rights and wrongs speech,google / organic,0,1,0.00%,64
human rights framework,google / organic,0,1,0.00%,10
human rights framework in the workplace,google / organic,0,1,0.00%,7.0
"human rights framework, approaches",google / organic,0,1,0.00%,10
human rights law alliance,google / organic,0,6,0.00%,64
human rights law centre,google / organic,0,3,0.00%,61
human rights law centre australia,google / organic,0,1,0.00%,44
human rights legal centre,google / organic,0,4,0.00%,57
human rights poverty,google / organic,0,1,0.00%,56
human rights violations in australia asylum seekers,google / organic,0,1,0.00%,73
human rights watch world report,google / organic,0,1,0.00%,80
human rights watch world report 2014,google / organic,0,1,0.00%,43
human rights watch world report 2016,google / organic,0,1,0.00%,73
human rights watch world report 2017,google / organic,0,2,0.00%,74
human services advise parental income,google / organic,0,1,0.00%,84
human trafficking act 2013,google / organic,0,1,0.00%,73
human trafficking and slavery,google / organic,0,1,0.00%,170
human trafficking and slavery in australia,google / organic,0,12,0.00%,74
human trafficking australia,google / organic,0,11,0.00%,86
human trafficking australia cases,google / organic,0,6,0.00%,76
human trafficking australia statistics,google / organic,0,2,0.00%,36
human trafficking australia statistics 2017,google / organic,0,4,0.00%,16
human trafficking cases australia,google / organic,0,6,0.00%,62
human trafficking cases in australia,google / organic,0,8,0.00%,61
human trafficking criminal code,google / organic,0,3,0.00%,42
human trafficking in australia,google / organic,0,30,0.00%,80
human trafficking in australia statistics,google / organic,0,16,0.00%,34
human trafficking legislation australia,google / organic,0,5,0.00%,34
human trafficking melbourne,google / organic,0,1,0.00%,79
human trafficking offence,google / organic,0,1,0.00%,81
human trafficking organisations australia,google / organic,0,22,0.00%,54
human trafficking statistics australia,google / organic,0,1,0.00%,53
humanist burial,google / organic,0,9,0.00%,120
humanitarian advisory group,google / organic,0,1,0.00%,16
humanitarian innovation fund,google / organic,0,1,0.00%,66
humanitarian migrants,google / organic,0,1,0.00%,100
humanitarian settlement program,google / organic,0,2,0.00%,74
humans of aged care,google / organic,0,2,0.00%,48
humanservice.gov.au,google / organic,0,1,0.00%,91
humatrope australia,google / organic,0,1,0.00%,86
hume act postcode,google / organic,0,11,0.00%,60
hume bank car insurance review,google / organic,0,1,0.00%,36
hume city council tip,google / organic,0,1,0.00%,85
hume highway town noted for merino wool,google / organic,0,1,0.00%,95
hume housing claymore,google / organic,0,2,0.00%,57
hume landfill,google / organic,0,2,0.00%,85
hume leader newspaper broadmeadows,google / organic,0,3,0.00%,77
hume plasterboard alexandria,google / organic,0,2,0.00%,57
humint adf,google / organic,0,1,0.00%,40
humphrey glass mildura,google / organic,0,4,0.00%,48
humpty dumpty mildura,google / organic,0,1,0.00%,60
hun tai,google / organic,0,2,0.00%,5.0
hung parliament 2010,google / organic,0,1,0.00%,29
hung parliament australia,google / organic,0,5,0.00%,64
hung parliament australia 2018,google / organic,0,1,0.00%,38
hung parliament australia definition,google / organic,0,3,0.00%,44
hunger buster ration pack,google / organic,0,7,0.00%,63
hunger in australia,google / organic,0,3,0.00%,20
hunger united nations,google / organic,0,1,0.00%,100
hungry bin flow-through worm farm,google / organic,0,1,0.00%,38
hungry bin instructions,google / organic,0,1,0.00%,91
hungry jacks annual report,google / organic,0,3,0.00%,78
hungry jacks ceduna,google / organic,0,5,0.00%,86
hungry jacks griffith,google / organic,0,1,0.00%,100
hungry jacks moree,google / organic,0,1,0.00%,85
hungy new zealand,google / organic,0,3,0.00%,70
hunt and gather markets newcastle,google / organic,0,1,0.00%,94
huntaï,google / organic,0,1,0.00%,10
hunter district water board,google / organic,0,5,0.00%,40
hunter expressway extension,google / organic,0,3,0.00%,21
hunter freight,google / organic,0,13,0.00%,48
hunter imaging nelson bay,google / organic,0,1,0.00%,79
hunter maas,google / organic,0,1,0.00%,70
hunter mcarthur father in secret with this fling.. pdf,google / organic,0,1,0.00%,69
hunter new england local health district jobs in maitland nsw,google / organic,0,1,0.00%,47
hunter ports,google / organic,0,1,0.00%,69
hunter region mail centre,google / organic,0,6,0.00%,78
hunter regional plan,google / organic,0,19,0.00%,45
hunter united credit union bsb,google / organic,0,1,0.00%,71
hunter valley buses jobs,google / organic,0,4,0.00%,65
hunter valley expressway,google / organic,0,1,0.00%,93
hunter valley public transport,google / organic,0,1,0.00%,89
hunter valley train station,google / organic,0,19,0.00%,72
hunter valley train timetable,google / organic,0,1,0.00%,84
hunter valley visitors centre,google / organic,0,2,0.00%,81
hunters hill council clean up,google / organic,0,1,0.00%,78
hunters hill lep,google / organic,0,1,0.00%,81
huntershill safaris accident,google / organic,0,1,0.00%,96
hunting on crown land tasmania,google / organic,0,1,0.00%,68
hurley performance centre,google / organic,0,1,0.00%,88
hurlstone agricultural high school selective test,google / organic,0,6,0.00%,39
hurlstone park brothel,google / organic,0,1,0.00%,61
hurricane bibi fiji,google / organic,0,1,0.00%,77
hurriyet babacan,google / organic,0,1,0.00%,55
hurstville lep 2012,google / organic,0,2,0.00%,47
hurstville library renew,google / organic,0,9,0.00%,38
hurstville population,google / organic,0,5,0.00%,65
huskertech unl,google / organic,0,1,0.00%,50
huskisson pictures timetable,google / organic,0,2,0.00%,56
hutt city council building consent,google / organic,0,1,0.00%,26
hutt south electorate,google / organic,0,7,0.00%,39
hutt st photos,google / organic,0,1,0.00%,76
hv mckay sunshine,google / organic,0,1,0.00%,57
hv mckay sunshine gates,google / organic,0,3,0.00%,48
hv switching training,google / organic,0,3,0.00%,95
hva attendance,google / organic,0,5,0.00%,56
