# ----------------------------------------
# All Web Site Data
# Queries
# 20190516-20190814
# ----------------------------------------

Search Query,Source/Medium,Clicks,Impressions,CTR,Average Position
buy kids quad bikes in melbourne,google / organic,0,2,0.00%,98
buy new units westmead,google / organic,0,1,0.00%,60
buy paro robot,google / organic,0,1,0.00%,99
buy pedder johnson walker plain,google / organic,0,7,0.00%,56
buy pentobarbital,google / organic,0,1,0.00%,16
buy swap sell southern highlands,google / organic,0,1,0.00%,82
buy synthetic weed online australia,google / organic,0,1,0.00%,92
buy the fear sell the greed pdf download,google / organic,0,1,0.00%,56
"buy the fear, sell the greed pdf",google / organic,0,3,0.00%,100
buy tiny home brisbane,google / organic,0,65,0.00%,73
buy tiny home sunshine coast,google / organic,0,88,0.00%,72
buy tiny house australia,google / organic,0,6,0.00%,99
buy tiny houses australia,google / organic,0,9,0.00%,75
buy walker plain pedder johnson,google / organic,0,1,0.00%,51
buyers advocate newcastle,google / organic,0,1,0.00%,97
buzwell,google / organic,0,2,0.00%,9.5
by the people,google / organic,0,1,0.00%,99
byondblue,google / organic,0,1,0.00%,81
byron bay accommodation airbnb,google / organic,0,2,0.00%,93
byron bay cookies melbourne,google / organic,0,7,0.00%,93
byron sharp mental availability,google / organic,0,2,0.00%,67
bystander anti-racism definition,google / organic,0,1,0.00%,22
c a r b o n p r i c i n g w a t c h,google / organic,0,28,0.00%,17
c&a kids,google / organic,0,1,0.00%,58
c1970,google / organic,0,5,0.00%,71
c1m urban dictionary,google / organic,0,1,0.00%,61
c2 square bankstown,google / organic,0,2,0.00%,27
c6 west wollongong hospital,google / organic,0,1,0.00%,56
ca australian political party,google / organic,0,1,0.00%,28
ca party australian politics,google / organic,0,1,0.00%,39
ca165 flight status,google / organic,0,7,0.00%,73
cabbage patch fairy meadow,google / organic,0,3,0.00%,80
cabbage tree nursery dural,google / organic,0,1,0.00%,81
cabcharge fast eticket,google / organic,0,2,0.00%,85
cabin crib no 10 settler,google / organic,0,1,0.00%,87
cabinet makers southern highlands,google / organic,0,1,0.00%,40
cabinet wa,google / organic,0,2,0.00%,16
cable commercials,google / organic,0,1,0.00%,8.0
cable tv 62987,google / organic,0,8,0.00%,57
caboolture population,google / organic,0,8,0.00%,48
caboolture west local plan,google / organic,0,3,0.00%,55
caboolture west staging plan,google / organic,0,2,0.00%,23
cadbury australia halal,google / organic,0,1,0.00%,100
cadbury halal australia,google / organic,0,1,0.00%,91
cadoux traders,google / organic,0,1,0.00%,83
cafcass legal,google / organic,0,1,0.00%,86
cafe 101 port adelaide,google / organic,0,1,0.00%,85
cafe 63 brisbane menu,google / organic,0,1,0.00%,61
cafe 63 intersection,google / organic,0,1,0.00%,34
cafe barriers perth,google / organic,0,3,0.00%,69
cafe blinds masters,google / organic,0,9,0.00%,87
cafe fit out ideas,google / organic,0,5,0.00%,96
cafe fit outs adelaide,google / organic,0,34,0.00%,87
cafe fitouts melbourne,google / organic,0,3,0.00%,97
cafe goolwa,google / organic,0,2,0.00%,58
